Date,Open,High,Low,Close,Adj Close,Volume
2024/4/17,17897,17968.5,17615.25,17658.5,17658.5,844749
2024/4/16,17879,17988,17792,17881.25,17881.25,766364
2024/4/15,18151,18350.75,17841.5,17876.25,17876.25,797316
2024/4/12,18486.25,18507.75,18120.25,18179.25,18179.25,787334
2024/4/11,18184,18518.75,18088,18485,18485,728802
2024/4/10,18381,18474.25,18053.5,18196.75,18196.75,880504
2024/4/9,18314.75,18407.25,18160.75,18359.75,18359.75,696069
2024/4/8,18348.25,18376,18237.5,18295,18295,524203
2024/4/5,18086.25,18408.25,18051.5,18300.75,18300.75,809193
2024/4/4,18388.5,18568,18055.25,18076.75,18076.75,777140
2024/4/3,18345,18451.75,18232.5,18373.25,18373.25,597987
2024/4/2,18497.25,18511,18201.5,18330,18330,618982
2024/4/1,18503,18612,18414.5,18497.25,18497.25,572133
2024/3/28,18505,18538.75,18447.5,18475,18475,515193
2024/3/27,18477.5,18571.75,18378.5,18503.75,18503.75,605634
2024/3/26,18531.25,18619,18439.25,18449,18449,516507
2024/3/25,18567,18601.25,18414.75,18513.5,18513.5,456250
2024/3/22,18580.5,18626,18492,18574.75,18574.75,511962
2024/3/21,18539.75,18709,18526.75,18561.75,18561.75,606959
2024/3/20,18274,18545,18227.5,18479.75,18479.75,618809
2024/3/19,18222,18289.25,18053.25,18270,18270,660394
2024/3/18,18073.5,18381,18062.25,18231.5,18231.5,656629
2024/3/15,18006,18074.75,17831.75,17854.75,17854.75,705711
2024/3/14,18094.25,18177.75,17915.5,18024.5,18024.5,110277
2024/3/13,18218,18256.5,18033.25,18078.5,18078.5,179714
2024/3/12,18010.5,18241.75,17930,18227.75,18227.75,281274
2024/3/11,18056,18068.25,17890.5,17971,17971,472517
2024/3/8,18279,18436.5,18012.5,18046.75,18046.75,1048847
2024/3/7,18041,18360,17915.75,18316.25,18316.25,758499
2024/3/6,17981,18174.25,17942.5,18044.25,18044.25,806131
2024/3/5,18246,18252,17832.5,17930.25,17930.25,803857
2024/3/4,18336,18377.75,18234.25,18262,18262,569342
2024/3/1,18075,18372.75,18029.5,18338.25,18338.25,639153
2024/2/29,17870,18109.5,17826,18082.75,18082.75,680147
2024/2/28,18017.5,18019.75,17846.25,17915.25,17915.25,553731
2024/2/27,17951,18040.25,17908.75,18021,18021,567818
2024/2/26,17961.5,18059.5,17922,17977,17977,526169
2024/2/23,18023.25,18144.75,17946,17991,17991,659725
2024/2/22,17702.5,18087,17676,18047.5,18047.5,759232
2024/2/21,17573,17723,17372.75,17536.75,17536.75,731450
2024/2/20,17729.25,17807.5,17452.5,17607.25,17607.25,889292
2024/2/16,17952,18026,17715,17744,17744,744628
2024/2/15,17870,17968.25,17780.5,17912.75,17912.75,657768
2024/2/14,17703,17887,17669.25,17881,17881,688088
2024/2/13,17928.5,17963.25,17542,17676.75,17676.75,858230
2024/2/12,18040,18121.5,17911.25,17965,17965,538132
2024/2/9,17854.25,18071,17852.25,18039.25,18039.25,499282
2024/2/8,17856.25,17896.5,17792.25,17868.25,17868.25,471370
2024/2/7,17645.75,17875.5,17629.75,17841.75,17841.75,613340
2024/2/6,17698.5,17769,17560.75,17660,17660,623168
2024/2/5,17696,17745.5,17554.25,17700,17700,621645
2024/2/2,17588,17775.5,17465.5,17732.75,17732.75,761167
2024/2/1,17273.25,17646.75,17262.75,17436.75,17436.75,705238
2024/1/31,17415.5,17484,17221.5,17242.25,17242.25,816119
2024/1/30,17711.75,17735.75,17467,17588.5,17588.5,554146
2024/1/29,17502,17716.25,17457.5,17706,17706,568739
2024/1/26,17571.25,17632,17466,17527,17527,631481
2024/1/25,17614.75,17752,17542,17634.5,17634.5,710822
2024/1/24,17554,17793.5,17552.25,17621,17621,721605
2024/1/23,17461,17558.25,17409.5,17531.25,17531.25,508078
2024/1/22,17466,17585,17434,17458.5,17458.5,637245
2024/1/19,17116,17471.25,17107.25,17438.5,17438.5,758132
2024/1/18,16854.5,17125.75,16834.25,17110,17110,852229
2024/1/17,16978,16982,16689.25,16869.75,16869.75,722784
2024/1/16,16961.75,17033.75,16811.75,16966.5,16966.5,816021
2024/1/12,16957.75,17042.5,16866.5,16969.25,16969.25,593445
2024/1/11,16955,17057,16753,16966.25,16966.25,756441
2024/1/10,16829.5,16983,16801.5,16945.25,16945.25,550703
2024/1/9,16788,16868.5,16657.75,16830.25,16830.25,605921
2024/1/8,16470,16811.25,16378.25,16803.75,16803.75,549900
2024/1/5,16455,16577.25,16334.25,16460.25,16460.25,627475
2024/1/4,16545.25,16587.25,16436,16445,16445,559464
2024/1/3,16736.75,16737.25,16522,16538,16538,677219
2024/1/2,17019,17038.5,16622.5,16720,16720,652714
